"Suburb","2018_Suburb_Population","2019_Suburb_Population","2020_Suburb_Population","2021_Suburb_Population","Number_of_Crime_Records_Sep2016_to_Aug2021","Number_of_Victims_Sep2016_to_Aug2021","Number_of_Crime_Types_Sep2016_to_Aug2021","Num_of_Crimes_per_1000_People","Num_of_Crime_Victims_per_1000_People"
"Kaikoura Ranges",1750,1770,1810,1840,NA,NA,NA,NA,NA
"Kennedys Bush",920,940,1000,1090,74,84,3,74,84
"Kensington (Timaru district)",1510,1520,1530,1540,NA,NA,NA,NA,NA
"Kingsbury",2850,2840,2830,2830,165,178,4,58.303886925795,62.8975265017668
"Kirwee",1320,1340,1380,1450,270,276,5,195.652173913043,200
"Ladbrooks",1780,1800,1840,1880,NA,NA,NA,NA,NA
"Lancaster Park",260,270,280,280,NA,NA,NA,NA,NA
"Leeston",2290,2340,2380,2370,166,174,5,69.7478991596639,73.109243697479
"Levels",1250,1260,1270,1290,240,248,5,188.976377952756,195.275590551181
"Levels Valley",1070,1080,1090,1100,NA,NA,NA,NA,NA
"Lilybrook",3050,3060,3100,3030,NA,NA,NA,NA,NA
"Lincoln East",3710,4170,4730,5260,NA,NA,NA,NA,NA
"Lincoln West",3130,3300,3420,3660,NA,NA,NA,NA,NA
"Linwood East",2210,2230,2260,2230,2519,2916,5,1114.6017699115,1290.26548672566
"Linwood North",2830,2860,2910,2870,906,951,6,311.340206185567,326.80412371134
"Linwood West",5250,5320,5430,5360,NA,NA,NA,NA,NA
"Loburn",2230,2260,2320,2360,82,85,4,35.3448275862069,36.6379310344828
"Lyalldale",710,720,720,730,NA,NA,NA,NA,NA
"Lyttelton",3100,3130,3160,3170,707,763,5,223.73417721519,241.455696202532
"Mackenzie Lakes",1250,1360,1460,1440,NA,NA,NA,NA,NA
"Mairehau North",3220,3170,3140,3120,336,352,5,107.006369426752,112.101910828025
"Mairehau South",3890,3860,3840,3800,NA,NA,NA,NA,NA
"Makikihi-Willowbridge",1050,1050,1100,1100,NA,NA,NA,NA,NA
"Malvern",2680,2650,2660,2630,526,666,5,197.744360902256,250.375939849624
"Mandeville-Ohoka",3330,3470,3590,3600,NA,NA,NA,NA,NA
"Marchwiel East",2030,2050,2060,2040,NA,NA,NA,NA,NA
"Marchwiel West",1580,1590,1610,1610,NA,NA,NA,NA,NA
"Marshland",820,820,840,910,NA,NA,NA,NA,NA
"Maungati",770,770,780,770,NA,NA,NA,NA,NA
"McLeans Island",210,200,190,190,NA,NA,NA,NA,NA
"Merivale",3030,3010,3030,3030,1247,1318,5,411.551155115512,434.983498349835
"Methven",1860,1880,1900,1920,170,186,5,89.4736842105263,97.8947368421053
"Middleton",200,200,200,210,1737,1851,5,8685,9255
"Mona Vale",1410,1430,1440,1460,1077,1160,6,747.916666666667,805.555555555556
"Morven-Glenavy-Ikawai",1140,1150,1160,1170,NA,NA,NA,NA,NA
"Motukarara",630,640,650,650,NA,NA,NA,NA,NA
"Motunau Island",0,0,0,0,NA,NA,NA,NA,NA
"Mount Pleasant",3670,3740,3790,3840,NA,NA,NA,NA,NA
"Netherby",2210,2260,2320,2380,291,305,5,125.431034482759,131.465517241379
"New Brighton",3450,3450,3430,3360,844,900,5,246.064139941691,262.390670553936
"Newtons Road",3490,3510,3650,3650,NA,NA,NA,NA,NA
"North Beach",4210,4190,4180,4140,939,983,5,224.641148325359,235.167464114833
"Northcote (Christchurch city)",2730,2760,2790,2770,NA,NA,NA,NA,NA
"Northlands (Christchurch city)",130,130,130,110,NA,NA,NA,NA,NA
"Northwood",3700,3680,3670,3630,NA,NA,NA,NA,NA
"Oaklands East",3450,3460,3470,3480,492,524,5,141.78674351585,151.008645533141
"Oaklands West",2600,2640,2680,2790,161,173,5,60.0746268656716,64.5522388059701
"Oceanic Canterbury region",0,0,0,0,NA,NA,NA,NA,NA
"Okuku",740,760,770,780,57,58,5,74.025974025974,75.3246753246753
"Omihi",1280,1280,1280,1270,NA,NA,NA,NA,NA
"Opawa",1390,1380,1360,1360,1146,1201,6,842.647058823529,883.088235294118
"Opua (Mackenzie district)",1410,1410,1410,1440,NA,NA,NA,NA,NA
"Otakaro-Avon River Corridor",110,120,110,110,NA,NA,NA,NA,NA
"Oxford",2280,2330,2370,2380,227,232,4,95.7805907172996,97.8902953586498
"Oxford Estate",1360,1390,1410,1400,NA,NA,NA,NA,NA
"Papanui East",2440,2450,2450,2380,NA,NA,NA,NA,NA
"Papanui North",2040,2020,2030,2020,NA,NA,NA,NA,NA
"Papanui West",3010,2990,3150,3110,NA,NA,NA,NA,NA
"Paparua",1020,1020,1020,1010,828,902,6,811.764705882353,884.313725490196
"Parklands",4150,4120,4090,4060,637,677,6,155.745721271394,165.525672371638
"Parkside",2450,2470,2470,2460,805,828,6,325.910931174089,335.222672064777
"Parnassus",1340,1330,1320,1320,102,105,3,77.2727272727273,79.5454545454545
"Pegasus",2770,3000,3380,3810,186,201,4,55.0295857988166,59.4674556213018
"Pegasus Bay",1080,1080,1130,1210,NA,NA,NA,NA,NA
"Phillipstown",4240,4330,4400,4320,1808,1910,6,410.909090909091,434.090909090909
"Pleasant Point",1430,1450,1460,1480,109,115,5,74.6575342465753,78.7671232876712
"Port Hills",70,70,80,80,NA,NA,NA,NA,NA
"Prebbleton",4680,4830,4990,5020,163,172,6,32.6653306613226,34.4689378757515
"Prestons",3130,3570,3970,4560,598,680,5,150.629722921914,171.284634760705
"Queenspark",3580,3580,3600,3570,NA,NA,NA,NA,NA
"Rakaia",1480,1500,1530,1560,267,281,5,174.509803921569,183.660130718954
"Rangiora Central",40,40,50,50,256,267,5,5120,5340
"Rangiora North East",1870,1880,1890,1870,NA,NA,NA,NA,NA
"Rangiora North West",2180,2360,2440,2510,NA,NA,NA,NA,NA
"Rangiora South East",2230,2440,2640,2700,NA,NA,NA,NA,NA
"Rangiora South West",2410,2430,2450,2440,NA,NA,NA,NA,NA
"Rangitata",1690,1700,1710,1750,NA,NA,NA,NA,NA
"Rawhiti",2860,2840,2870,2820,1568,1664,6,546.341463414634,579.790940766551
"Redcliffs",2020,2040,2070,2090,NA,NA,NA,NA,NA
"Redwood East",3310,3310,3320,3290,NA,NA,NA,NA,NA
"Redwood North",2860,2840,2830,2810,644,700,6,227.56183745583,247.349823321555
"Redwood West",2270,2260,2270,2210,NA,NA,NA,NA,NA
"Regents Park",1200,1330,1500,1670,NA,NA,NA,NA,NA
"Riccarton Central",50,50,50,60,NA,NA,NA,NA,NA
"Riccarton East",1160,1160,1190,1250,NA,NA,NA,NA,NA
"Riccarton Racecourse",1250,1290,1340,1490,NA,NA,NA,NA,NA
"Riccarton South",3740,3800,3900,3850,720,768,5,184.615384615385,196.923076923077
"Riccarton West",3560,3620,3710,3610,760,820,5,204.851752021563,221.024258760108
"Richmond North (Christchurch city)",2390,2380,2390,2430,NA,NA,NA,NA,NA
"Richmond South (Christchurch city)",2110,2160,2200,2190,NA,NA,NA,NA,NA
"Rolleston Central",3410,3470,3590,3560,206,217,5,57.3816155988858,60.4456824512535
"Rolleston Izone",40,40,40,40,NA,NA,NA,NA,NA
"Rolleston North East",4780,4980,5170,5220,570,590,5,110.251450676983,114.119922630561
"Rolleston North West",3980,4170,4330,4460,132,145,4,30.4849884526559,33.4872979214781
"Rolleston South East",3220,4100,5470,7560,319,381,4,58.3180987202925,69.6526508226691
"Rolleston South West",2970,3170,3480,3830,82,87,4,23.5632183908046,25
"Russley",1010,1010,1010,1000,661,711,5,654.455445544554,703.960396039604
"Rutland",3000,2960,2940,2890,755,815,5,256.802721088435,277.210884353741
"Seaview",2170,2190,2230,2250,1220,1275,6,547.085201793722,571.748878923767
"Shirley East",2750,2730,2760,2690,2515,2685,6,911.231884057971,972.826086956522
"Shirley West",4310,4330,4360,4310,1098,1146,6,251.834862385321,262.844036697248
"Silverstream (Waimakariri district)",860,940,1090,1230,NA,NA,NA,NA,NA
"Sockburn North",4230,4200,4200,4120,NA,NA,NA,NA,NA
"Sockburn South",400,400,410,430,NA,NA,NA,NA,NA
"Somerfield East",3830,3840,3850,3850,NA,NA,NA,NA,NA
"Somerfield West",3130,3100,3070,3040,NA,NA,NA,NA,NA
