"","Agent","Network","Start_Date","End_Date","Percent_Complete","Name","lat","lon"
"41",3206,"E05231","01-Jan-1954","29-Nov-1991",100,"Ohakea Aero",-40.201,"175.373"
"42",3715,"E95902","01-Jan-1972","30-Oct-2021",100,"WhanganuiSpriggens Park Ews",-39.93704,"175.04509"
"43",21963,"E0536D","01-Apr-2001","30-Oct-2021",100,"Palmerston North Ews",-40.38195,"175.60915"
"44",3236,"E05361","01-Jan-1972","30-Sep-1988",100,"Palmerston N Aero",-40.327,"175.616"
"45",3243,"E05368","01-Sep-1991","28-Oct-2021",100,"Palmerston North Aws",-40.31858,"175.61459"
"46",25222,"E94622","01-Feb-2004","29-Oct-2021",100,"Hawera Aws",-39.60991,"174.2916"
"47",25777,"F12215","26-Jun-2015","30-Oct-2021",100,"Arapito Ews",-41.27058,"172.15568"
"48",4506,"G23464","01-May-1991","28-Oct-2021",100,"Kaikoura Aws",-42.42038,"173.69627"
"49",36857,"F22061","01-Apr-2009","29-Oct-2021",90,"Mahanga Ews",-42.01777,"172.64677"
"50",16826,"F12839","01-May-1998","31-May-2013",100,"Murchison Raws",-41.805,"172.324"
"51",38224,"D05591","01-Jul-2010","29-Oct-2021",100,"Pahiatua Ews",-40.50652,"175.91586"
"52",38672,"E95869","01-Jun-2010","28-Oct-2021",80,"Flat Hills Wxt Aws",-39.8932,"175.65799"
"53",2592,"D06922","01-Jan-1986","28-Oct-2021",100,"Castlepoint Aws",-40.90416,"176.21207"
"54",23872,"E94334","01-Jul-2002","23-Oct-2021",100,"Stratford Ews",-39.33546,"174.30502"
"55",11234,"G22582","01-Jun-1995","30-Oct-2021",100,"Hanmer Forest Ews",-42.53433,"172.85098"
"56",26958,"D06214","01-Jul-2007","30-Oct-2021",100,"Dannevirke Ews",-40.20812,"176.11026"
"57",36157,"H23605","01-Oct-2008","29-Oct-2021",90,"Waiau School Cws",-42.653,"173.043"
"58",38057,"D06541","01-Apr-2010","30-Oct-2021",100,"Akitio Ews",-40.57728,"176.44889"
"59",31621,"E95449","01-Jul-2007","28-Oct-2021",90,"Ohakune Ews",-39.41755,"175.41278"
"60",31832,"H23825","02-Aug-2007","27-Oct-2021",90,"Cheviot Ews",-42.82722,"173.22409"
"61",41382,"F11765","01-Apr-2016","30-Oct-2021",100,"Westport Ews",-41.74326,"171.61187"
"62",37651,"H22785","01-Nov-2009","28-Oct-2021",80,"Culverden Aws",-42.77014,"172.88947"
"63",25820,"D06024","01-Jul-2005","28-Oct-2021",100,"Takapau Plains Aws",-40.04188,"176.26855"
"64",3925,"F21182","01-Jan-1972","29-Oct-2021",80,"Reefton Ews",-42.11578,"171.86014"
"65",7342,"F11754","01-Nov-1991","29-Oct-2021",100,"Westport Aero Aws",-41.74075,"171.57985"
"66",3810,"F11752","01-Jan-1970","31-Oct-1991",100,"Westport Aero",-41.73954,"171.57833"
"67",2282,"C94011","01-Dec-1961","31-Dec-1991",100,"New Plymouth Aero",-39.012,"174.181"
"68",39148,"E95468","02-Jul-2011","28-Oct-2021",100,"Waiouru Airstrip Aws",-39.44626,"175.65786"
"69",2283,"C94012","02-Nov-1991","29-Oct-2021",100,"New Plymouth Aws",-39.00786,"174.18382"
"70",42704,"H22881","01-Jul-2017","30-Sep-2021",100,"Balmoral East Cws",-42.83025,"172.83463"
"71",37256,"D06461","01-Jan-2009","28-Oct-2021",60,"Cape Turnagain Aws",-40.48496,"176.61528"
"72",41282,"H22863","01-Jan-2016","29-Oct-2021",100,"Medbury Cws",-42.88031,"172.68964"
"73",37850,"C95012","01-Oct-2010","29-Oct-2021",80,"Lower Retaruke Cws",-39.07486,"175.19667"
"74",18464,"C95153","01-Oct-2000","30-Oct-2021",100,"Mt RuapehuChateau Ews",-39.19589,"175.54504"
"75",31620,"D96962","01-Jul-2007","27-Oct-2021",100,"Waipawa Ews",-39.9515,"176.61706"
"76",38730,"H22942","01-Mar-2011","29-Oct-2021",100,"Waipara North Branch At Langs Gully Cws",-42.93849,"172.42165"
"77",26607,"H32063","01-Oct-2006","30-Oct-2021",100,"Waipara West Ews",-43.07026,"172.65344"
"78",40983,"C85826","01-Nov-2015","29-Oct-2021",90,"Taumarunui Ews",-38.86145,"175.23805"
"79",35135,"C85835","01-Feb-2008","29-Oct-2021",100,"Taumarunui Aws",-38.8873,"175.33255"
"80",25643,"C85977","01-Apr-2003","30-Oct-2021",100,"Turangi 2 Ews",-38.97352,"175.7908"
"81",40256,"D96662","01-Sep-2014","29-Oct-2021",90,"Maraekakaho Cws",-39.63795,"176.68206"
"82",25726,"C84672","04-Mar-2020","29-Oct-2021",90,"Awakino Ews",-38.62025,"174.72013"
"83",3017,"D96680","01-Oct-1981","31-May-1989",100,"Hastings Aws",-39.61517,"176.78902"
"84",26104,"F21642","01-Mar-2007","29-Oct-2021",90,"Pigeon Creek Cws",-42.68168,"171.45628"
"85",17244,"H32364","01-Mar-1999","29-Oct-2021",100,"Rangiora Ews",-43.32858,"172.61114"
"86",23934,"F21425","01-Feb-2008","30-Oct-2021",100,"Greymouth Aero Ews",-42.46022,"171.19157"
"87",43251,"H32359","01-Dec-2017","30-Sep-2021",100,"Ohoka Cws",-43.3423,"172.56574"
"88",15876,"D96696","01-Oct-1997","30-Oct-2021",100,"Whakatu Ews",-39.60698,"176.91148"
"89",39224,"H32341","01-Nov-2011","31-Jan-2012",100,"West EyretonLarundel Farm Cws",-43.3573,"172.43224"
"90",44637,"H31073","01-Apr-2021","30-Sep-2021",100,"Cass Ews",-43.03447,"171.75999"
"91",2980,"D96484","01-Oct-1990","28-Oct-2021",100,"Napier Aero Aws",-39.47033,"176.86463"
"92",38103,"F21852","01-May-2010","29-Oct-2021",80,"Mt Philistine Ews",-42.88314,"171.53229"
"93",2977,"D96481","01-Nov-1973","31-Dec-1989",100,"Napier Aero",-39.468,"176.872"
"94",41330,"D96494","01-Jun-2016","30-Oct-2021",100,"Napier Ews",-39.49846,"176.91189"
"95",4513,"H21951","29-Oct-2008","29-Oct-2008",100,"Arthurs Pass",-42.94152,"171.56285"
"96",25821,"H21956","16-May-2007","29-Oct-2021",90,"Arthurs Pass Ews",-42.94152,"171.56285"
"97",41489,"H21957","01-Jun-2013","28-Oct-2021",100,"Arthurs Pass Aws",-42.94461,"171.56415"
"98",37870,"D97601","01-Jan-2010","30-Apr-2011",100,"Cape Kidnappers Wxt Aws",-39.6452,"177.0916"
"99",43967,"H3257J","01-Jan-2020","30-Oct-2021",100,"Bromley Ews",-43.52828,"172.72096"
"100",41230,"H32455","01-Sep-2013","29-Oct-2021",100,"Christchurch Aero Backup Aws",-43.48901,"172.52841"
"101",4843,"H32451","01-Jan-1960","29-Oct-2021",100,"Christchurch Aero",-43.493,"172.537"
"102",4858,"H32561","01-Jan-1972","05-Aug-2007",90,"Christchurch Gardens",-43.531,"172.619"
